,Building,Class,Actual_Enrl,Start_H,End_H,Latitude,Longitude
0,AB,,16,9,11,679061.044896,7642575.33562
1,AB,,6,10,12,679061.044896,7642575.33562
2,ASRC,,17,8,9,680048.965263,7642730.146919999
3,ASRC,,10,9,10,680048.965263,7642730.146919999
4,ASRC,,38,9,12,680048.965263,7642730.146919999
5,ASRC,,43,11,13,680048.965263,7642730.146919999
6,ASRC,,57,12,13,680048.965263,7642730.146919999
7,ASRC,,16,13,16,680048.965263,7642730.146919999
8,ASRC,,38,14,15,680048.965263,7642730.146919999
9,ASRC,,41,15,16,680048.965263,7642730.146919999
10,BDWY,,25,7,8,679425.738764,7642141.8952399995
11,BDWY,,107,9,10,679425.738764,7642141.8952399995
12,BDWY,,118,10,11,679425.738764,7642141.8952399995
13,BDWY,,47,11,12,679425.738764,7642141.8952399995
14,BDWY,,78,12,13,679425.738764,7642141.8952399995
15,BDWY,,59,14,15,679425.738764,7642141.8952399995
16,BDWY,,17,15,17,679425.738764,7642141.8952399995
17,CH,,88,9,9,680507.418369,7642314.424760001
18,CH,,405,9,10,680507.418369,7642314.424760001
19,CH,,17,9,11,680507.418369,7642314.424760001
20,CH,,77,9,12,680507.418369,7642314.424760001
21,CH,,24,10,10,680507.418369,7642314.424760001
22,CH,,412,10,11,680507.418369,7642314.424760001
23,CH,,128,10,12,680507.418369,7642314.424760001
24,CH,,503,11,12,680507.418369,7642314.424760001
25,CH,,15,11,14,680507.418369,7642314.424760001
26,CH,,31,11,15,680507.418369,7642314.424760001
27,CH,,623,12,13,680507.418369,7642314.424760001
28,CH,,20,12,15,680507.418369,7642314.424760001
29,CH,,25,13,14,680507.418369,7642314.424760001
30,CH,,215,14,15,680507.418369,7642314.424760001
31,CH,,12,15,17,680507.418369,7642314.424760001
32,CIN,,65,10,11,679641.171666,7642600.052019999
33,CLSB,,10,7,9,677049.082116,7645324.86245
34,CLSB,,310,8,9,677049.082116,7645324.86245
35,CLSB,,313,10,11,677049.082116,7645324.86245
36,CLSB,,21,10,12,677049.082116,7645324.86245
37,CLSB,,340,11,12,677049.082116,7645324.86245
38,CLSB,,217,12,13,677049.082116,7645324.86245
39,CLSB,,96,14,15,677049.082116,7645324.86245
40,CLSB,,22,14,16,677049.082116,7645324.86245
41,CPB,,4,8,16,680253.994634,7644287.46011
42,EB,,33,9,9,679227.356364,7643015.9597
43,EB,,30,9,10,679227.356364,7643015.9597
44,EB,,33,9,11,679227.356364,7643015.9597
45,EB,,39,10,11,679227.356364,7643015.9597
46,EB,,11,10,13,679227.356364,7643015.9597
47,EB,,41,11,12,679227.356364,7643015.9597
48,EB,,42,12,13,679227.356364,7643015.9597
49,EB,,15,13,15,679227.356364,7643015.9597
50,EB,,31,14,15,679227.356364,7643015.9597
51,EB,,45,15,16,679227.356364,7643015.9597
52,EB,,15,16,18,679227.356364,7643015.9597
53,FAB,,68,8,9,679576.3524409999,7643163.52598
54,FAB,,33,9,10,679576.3524409999,7643163.52598
55,FAB,,164,10,11,679576.3524409999,7643163.52598
56,FAB,,25,10,12,679576.3524409999,7643163.52598
57,FAB,,80,11,12,679576.3524409999,7643163.52598
58,FAB,,184,12,13,679576.3524409999,7643163.52598
59,FAB,,35,13,15,679576.3524409999,7643163.52598
60,FAB,,118,14,15,679576.3524409999,7643163.52598
61,FAB,,25,14,16,679576.3524409999,7643163.52598
62,FAB,,35,16,17,679576.3524409999,7643163.52598
63,FAB,,17,16,18,679576.3524409999,7643163.52598
64,FAB,,20,17,21,679576.3524409999,7643163.52598
65,HOFF,,126,10,11,680508.861028,7641292.417939999
66,LH,,19,8,8,680747.560767,7642413.45873
67,LH,,31,8,9,680747.560767,7642413.45873
68,LH,,27,9,9,680747.560767,7642413.45873
69,LH,,18,9,10,680747.560767,7642413.45873
70,LH,,117,10,11,680747.560767,7642413.45873
71,LH,,54,10,13,680747.560767,7642413.45873
72,LH,,91,11,12,680747.560767,7642413.45873
73,LH,,98,12,13,680747.560767,7642413.45873
74,LH,,33,13,16,680747.560767,7642413.45873
75,LH,,20,14,14,680747.560767,7642413.45873
76,LH,,36,14,15,680747.560767,7642413.45873
77,LH,,10,15,15,680747.560767,7642413.45873
78,LH,,28,16,17,680747.560767,7642413.45873
79,NH,,13,7,8,680027.8416159999,7642114.5862
80,NH,,25,8,8,680027.8416159999,7642114.5862
81,NH,,8,8,9,680027.8416159999,7642114.5862
82,NH,,22,9,9,680027.8416159999,7642114.5862
83,NH,,247,9,10,680027.8416159999,7642114.5862
84,NH,,57,9,11,680027.8416159999,7642114.5862
85,NH,,346,10,11,680027.8416159999,7642114.5862
86,NH,,8,10,12,680027.8416159999,7642114.5862
87,NH,,367,11,12,680027.8416159999,7642114.5862
88,NH,,15,11,13,680027.8416159999,7642114.5862
89,NH,,25,12,12,680027.8416159999,7642114.5862
90,NH,,390,12,13,680027.8416159999,7642114.5862
91,NH,,47,13,13,680027.8416159999,7642114.5862
92,NH,,225,14,15,680027.8416159999,7642114.5862
93,NH,,17,14,17,680027.8416159999,7642114.5862
94,OND,,18,9,10,679594.3165930001,7642530.21924
95,OND,,13,9,11,679594.3165930001,7642530.21924
96,OND,,10,9,12,679594.3165930001,7642530.21924
97,OND,,69,10,11,679594.3165930001,7642530.21924
98,OND,,73,11,12,679594.3165930001,7642530.21924
99,OND,,12,12,12,679594.3165930001,7642530.21924
100,OND,,75,12,13,679594.3165930001,7642530.21924
101,OND,,8,12,15,679594.3165930001,7642530.21924
102,OND,,37,14,15,679594.3165930001,7642530.21924
103,OND,,17,15,17,679594.3165930001,7642530.21924
104,PKM,,29,9,9,680835.377374,7642071.12622
105,PKM,,118,10,11,680835.377374,7642071.12622
106,PKM,,107,11,12,680835.377374,7642071.12622
107,PKM,,20,14,15,680835.377374,7642071.12622
108,PNT,,88,9,10,679345.2322569999,7642439.43789
109,PNT,,17,10,11,679345.2322569999,7642439.43789
110,PNT,,17,11,12,679345.2322569999,7642439.43789
111,PNT,,22,12,13,679345.2322569999,7642439.43789
112,SB1,,14,9,12,680960.596738,7641768.74235
113,SB1,,119,11,12,680960.596738,7641768.74235
114,SB1,,43,12,13,680960.596738,7641768.74235
115,SB1,,7,12,15,680960.596738,7641768.74235
116,SB1,,25,12,16,680960.596738,7641768.74235
117,SB1,,18,13,14,680960.596738,7641768.74235
118,SB1,,4,15,16,680960.596738,7641768.74235
119,SEC,,9,13,14,678762.0050939999,7642562.06508
120,SEH,,30,9,10,680669.6716560001,7641270.5697800005
121,SEH,,34,10,12,680669.6716560001,7641270.5697800005
122,SEH,,32,11,12,680669.6716560001,7641270.5697800005
123,SEH,,7,14,15,680669.6716560001,7641270.5697800005
124,SH,,83,9,10,679795.846701,7642013.91022
125,SH,,10,9,11,679795.846701,7642013.91022
126,SH,,118,10,11,679795.846701,7642013.91022
127,SH,,198,13,17,679795.846701,7642013.91022
128,SH,,15,14,15,679795.846701,7642013.91022
129,SRTC,,37,8,10,680741.5574630001,7641704.5849399995
130,SRTC,,33,9,9,680741.5574630001,7641704.5849399995
131,SRTC,,59,10,11,680741.5574630001,7641704.5849399995
132,SRTC,,13,10,12,680741.5574630001,7641704.5849399995
133,SRTC,,18,10,13,680741.5574630001,7641704.5849399995
134,SRTC,,40,11,12,680741.5574630001,7641704.5849399995
135,SRTC,,50,11,13,680741.5574630001,7641704.5849399995
136,SRTC,,41,12,13,680741.5574630001,7641704.5849399995
137,SRTC,,10,13,14,680741.5574630001,7641704.5849399995
138,SRTC,,57,14,15,680741.5574630001,7641704.5849399995
139,SRTC,,27,14,16,680741.5574630001,7641704.5849399995
140,SRTC,,13,14,17,680741.5574630001,7641704.5849399995
141,SRTC,,7,15,16,680741.5574630001,7641704.5849399995
142,SRTC,,17,15,17,680741.5574630001,7641704.5849399995
143,UCB,,17,9,11,680315.189161,7642847.982360001
144,UCB,,11,10,12,680315.189161,7642847.982360001
145,UCB,,11,14,15,680315.189161,7642847.982360001
146,URBN,,41,9,9,680315.189161,7642847.982360001
147,URBN,,11,9,10,680315.189161,7642847.982360001
148,URBN,,19,9,11,680315.189161,7642847.982360001
149,URBN,,19,9,12,680315.189161,7642847.982360001
150,URBN,,97,10,11,680315.189161,7642847.982360001
151,URBN,,73,11,12,680315.189161,7642847.982360001
152,URBN,,14,11,13,680315.189161,7642847.982360001
153,URBN,,44,12,13,680315.189161,7642847.982360001
154,URBN,,10,12,16,680315.189161,7642847.982360001
155,USB,,8,10,11,680325.4741560001,7642595.26432
156,UTS,,23,6,7,678770.333626,7642673.465030001
157,UTS,,43,9,10,678770.333626,7642673.465030001
158,UTS,,95,10,11,678770.333626,7642673.465030001
159,UTS,,23,10,12,678770.333626,7642673.465030001
160,UTS,,36,11,12,678770.333626,7642673.465030001
161,UTS,,8,13,17,678770.333626,7642673.465030001
